p1,p2
"Oh, yeah, last week you had a wonderful, nutty, chocolatey kind of a cakey pie thing. Nothing, just, just, I'm fine.",Does anybody want anything else?
It's my father. He wants to give me a Mercedes convertible.,What's the matter? Why so scrunchy?
"Yeah, well, it's a Mercedes if I move back home. Oh, it was horrible. He called me young lady.","That guy, he burns me up."
"Did he give you that whole ""You're-not-up-to-this"" thing again?","Ooh, I hate when my father calls me that."
"Uh-huh, uh-huh.","Oh, yeah, yeah. Actually, I got the extended disco version, with three choruses of ""You'll never make it on your own""."
"Hi, Joey.",
,"My god, Angela."
Are you gonna go over there?,"Wow, being dumped by you obviously agrees with her."
Joey.,"No, yeah, no, ok, but not yet. I don't wanna seem too eager. One Mississippi, two Mississippi, three Mississippi. That seems pretty cool. Hey, Angela."
That's because I'm wearing a dress that accents my boobs.,You look good.
,You don't say.
"Oh, big glamour night. Me and Monica at Laundorama.","So, uh, Rachel, what are you, uh, what're you doing tonight?"
Who?,"Oh, you uh, you wanna hear a freaky coincidence? Guess who's doing laundry there too?"
Don't you have a laundry room in your building?,"Me. Was that not clear? Hey, why don't, um, why don't I just join you both, here?"
Sure.,"Yes, I do have a laundry room in my building, um, but there's a.... rat problem. Apparently they're attracted to the dryer sheets, and they're goin' in fine, but they're comin' out all.... fluffy. Anyway, say, sevenish?"
Forget it Joey. I'm with Bob now.,
"Bob is great. He's smart, he's sophisticated, and he has a real job. You, you go on three auditions a month and you call yourself an actor, but Bob...",Bob? Who the hell's Bob?
"Yeah, well, sorry, Joe. You said let's just be friends, so guess what?","Come on, we were great together. And not just at the fun stuff, but like, talking too."
We're just friends.,What?
What four of us?,"Fine, fine, so, why don't the four of us go out and have dinner together tonight? You know, as friends?"
"Monica, I'm tellin' you, this guy is perfect for you.","You know, you and Bob, and me and my girlfriend, uh, uh, Monica."
"Come on. This guy's great. His name's Bob. He's Angela's... brother. He's smart, he's sophisticated, and he has a real job. Me, I go on three auditions a month and call myself an actor, but Bob is...",Forget it. Not after your cousin who could belch the alphabet.
What?,"Oh, god help us."
"Eww! Look, I'm asking a favor here. If I do this for her brother, maybe Angela will come back to me.",Ugly Naked Guy's laying kitchen tile. Eww!
"I know, but, I made a huge mistake. I never should have broken up with her. Will you help me? Please?",What's going on here? You go out with tons of girls.
"Oh. Well, hold on camper, are you sure you've thought this thing through?","Ok, bye. Well, Monica's not coming, it's just gonna be me and Rachel."
"It's just you and Rachel, just the two of you? This is a date. You're going on a date.",It's laundry. The thinking through is minimal.
Yuh-huh.,Nuh-uh.
"Well, you may wanna rethink the dirty underwear. This is basically the first time she's gonna see your underwearyou want it to be dirty?","So what're you saying here? I should shave again, pick up some wine, what?"
"Oh, and uh, the fabric softener?",No.
There you go.,"Ok, ok, now what is wrong with my Snuggles? What, it says I'm a sensitive, warm kinda guy, you know, like a warm, fuzzy bear. Ok, I can pick something else up on the way."
Yep.,Thank you. So what does this Bob guy look like? Is he tall? Short?
Which what?,Which?
"No, but he's...","You've never met Bob, have you?"
,"Oh my god, Joey, for all we know this guy could be horribly..."
...horribly attractive. I'll be shutting up now.,"Hey, Joey."
This is nice. We never do anything just the two of us.,Where are they? Where are they?
"Eww, I don't wanna do that.",It's great. Maybe tomorrow we can rent a car and run over some puppies.
Here we go.,
"Hey, Janice.","Ok, have a good break-up."
"Hey, that's not good. Can I get an espresso and a latte over here, please?","Oh, my god, I am so glad you called me. I had the most supremely awful day."
,"We got the proofs back from that photo shoot, you know, the one with the little vegetables. Anyway, they pretty much sucked, so, I blew off the rest of the day, and I went shopping... ... and I got you, I'm looking, I'm looking, I'm looking, I got you..."
What?,What?
I got you...these.,What... did you get me there?
"Well, I knew you had the Rockys, and so I figured, you know, you can wear Bullwinkle and Bullwinkle, or you can wear Rocky and Rocky,or, you can mix and match, moose and squirrel. Whatever you want.",Bullwinkle socks. That's so sweet.
,That's great.
"No, no, I'm still working on mine.","Well, I'm gonna get another espresso. Can I get you another latte?"
That's it?,
"Oh, yeah, that hug looked pretty brutal.","Yeah, it was really hard."
"Comin' through. Move, move.","Ok, you weren't there."
"Yeah, well, now you're kinda not.","Oh, 'scuse me. I was kinda using that machine."
"Oh, I'm sorry, is that your basket? It's really pretty. Unfortunately, I don't see suds.",But I saved it. I put my basket on top.
"No suds, no save. Ok?",What?
What's goin' on?,
Was your basket on top?,"Hi, uh, nothing. That horrible woman just took my machine."
So?,"Yeah, but, there were no suds."
"No suds? Excuse me, hold on a second. That's my friend's machine.","Well, you know, no suds, no save."
"Hey, hey, hey, that's not the rule and you know it.","Hey, hey, hey, her stuff wasn't in it."
"All right, show's over. Nothing to see here. Ok, let's do laundry.",
"Well, that's because you're such a sweet, gentle, uh...Do you, uh, do you...Oh, hey, uh you must need detergent.",That was amazing. I can't even send back soup.
What's that?,
,"Uberveiss. It's new, it's German, it's extra-tough."
"Oh god. Oh, am I being like a total laundry spaz? I mean, am I supposed to use like one machine for shirts and another machine for pants?","Rach, do you uh, are you gonna separate those?"
"Well, not myself, but I know other people that have. Ok, you caught me. I'm a laundry virgin.","Rach, have you never done this before?"
"Ok, Well, what about these are white cotton panties. Would they go with whites or delicates?","Uh, well, don't worry, I'll use the gentle cycle. Ok, um, basically you wanna use one machine for all your whites, a whole nother machine for colors, and a third for your uh, your uh, delicates, and that would be your bras and your under-panty things."
"He is so cute. So, where did you guys grow up?","Uh, that, that, that would be a judgment call."
Cleveland.,Brooklyn Heights.
Oh my god.,"How, how did that happen?"
I suddenly had the feeling that I was falling. But I'm not.,What?
Yep. Pretty much.,"So, you and Angela, huh?"
"Huh, I never really noticed.","You're a lucky man. You know what I miss the most about her? That cute nibbly noise when she eats. Like a happy little squirrel, or a weasel."
"Monica, Monica is great.","Oh, yeah, yeah, listen for it."
"I've gotta tell you, Bob is terrific.","Yeah, but it's not gonna last. She's too much for me in bed. Sexually."
"It is so great to meet a guy who is smart and funny, and has an emotional age beyond, like eight.","Yeah, isn't he?"
Wow. My brother never even told me when he lost his virginity.,You know what else? He's unbelievable in bed.
"Ok, you can do this. It's just like pulling off a Band-aid. Just do it really fast, and then the wound is exposed.",Huh. That's nice.
"Janice. Hi, Janice. Ok, here we go. I don't think we should go out anymore. Janice.",
"Ok, I know this is gonna sound really stupid, but I feel that if I can do this, you know, if I can actually do my own laundry, there isn't anything I can't do.","All right. Well, there you go. Stop it, stop it, stop it."
What uh-oh?,"That does not sound stupid to me. You know, it's like the first time I had to make dinner for myself, after Carol left me? I'm sorry, that's all the time we have. Next on Ross... Uh-oh."
"Ross, what's the matter?","Uh-oh, uh-oh, the laundry's done. It's, uh, it's a song. The laundry song that we sing. Uh-oh the laundry's done, uh-oh, uh-oh."
"Come on, show me.","Nothing, nothing. Lee-lo, the laundry's done."
"Oh, everything's pink.","All right, all right, it's just that you left a red sock in with all your whites, and now, everything's kinda pink."
"Except it didn't. It happened to me. Oh, god, I'm gonna look like a big marshmallow peep. What am I doing? What am I doing? My father's right. I can't live on my own! I can't even do laundry!","Yeah, uh, except for the red sock, which is still red. I'm sorry, please don't be upset, it could happen to anyone."
"Something went wrong with Underdog, and they couldn't get his head to inflate. So anyway, um, his head is like flopping down Broadway, right, and I'm just thinking... how inappropriate this is. Um, I've got something in my eye, uh, Joey, could we check it in the light, please?",
Oh my god.,
Hello! Were we at the same table? It's like... cocktails in Appalachia.,What?
Close? She's got her tongue in his ear.,"Come on, they're close."
"Joey, this is sick, it's disgusting, it's, it'snot really true, is it?","Oh, like you've never gotten a little rambunctious with Ross."
"Oh my god, what were you thinking?","Well, who's to say what's true? I mean..."
Oh!,"All right, look, I'm not proud of this, ok? Well, maybe I am a little."
I'm outta here.,Ow!
Really?,"Wait, wait, wait. You want him, I want her. He likes you."
,"Yeah. I'm thinking, if we put our heads together, between the two of us, we can break them up."
,"I'm so sorry, I can't believe I did this, but I couldn't stop laughing at your Norman Mailer story."
"Here's the thing, Janice. You know, I mean, it's like we're different. I'm like the bing, bing, bing. You're like the boom, boom, ... boom.","Uh, waiter, one more plate of chicken wings over here."
"Oh, my god, I'm so sorry. Are you ok?",Ow!
,"Ow. Um, it's just my lens. It's just my lens. I'll be right back."
Oh my god. How many of those have you had?,I hit her in the eye! I hit her in the eye! This is the worst break-up in the history of the world.
"Chandler, easy, easy. Go to your happy place. La la la la la la la.","Oh, I don't know, a million?"
All right.,I'm fine.
I'm not fine. Here she comes.,
,Wait here. Breathe.
It's like a gift.,How do you do that?
"Oh, I'd like that.",We should always always break up together.
"Oh, I guess. Except everything looks like jammies now.",You got the clothes clean. Now that's the important part.
"Whoa, I'm sorry. Excuse me. We had this cart.",
,"Yeah, well, I had a 24-inch waist. You lose things. Now come on, get outta my way."
"Hey, hey, hey there aren't any clothes in it.","I'm sorry, you know, maybe I wasn't being clear. Uh, this is our cart."
Let go!,"Hey, hey, hey, hey, quit making up rules!"
"All right, listen, missy. If you want this cart, you're gonna have to take me with it!",
Yes! Did you see that?,
I could not have done this without you.,"You were incredible! Brand new woman, ladies and gentlemen."
"Ok, um, uh, more clothes in the dryer? I'm fine, I'm fine.",
No.,Are you sure?
Yeah.,"Oh, are you sure you're ok?"
Yeah.,Does it still hurt?
,What a neat idea. All your clothes match. I'm gonna do this.
"Hey, how'd it go?",Hi.
"We ripped that couple apart, and kept the pieces for ourselves.",Excellent.
"Oh, I'm sorry.","What a beautiful story. Hey, I'm fine by the way."
"Oh, he needed some time to grieve.",Where's Chandler?
I'm free! I'm free!,
"Ooh! Look! Look! Look! Look, there's Joey's picture! This is so exciting!",That oughta do it.
"The exclamation point in the title scares me. Y'know, it's not just Freud, it's Freud!","You can always spot someone who's never seen one of his plays before. Notice, no fear, no sense of impending doom..."
"Oh, shhh, shh. Magic is about to happen.",
"Vell, Eva, ve've done some excellent vork here, and I vould have to say, your pwoblem is qviiite clear.",
God. I feel violated.,"All you want is a dingle, What you envy's a schwang, A thing through which you can tinkle, Or play with, or simply let hang..."
"Ross, ten o'clock.","Did anybody else feel they just wanted to peel the skin off their body, to have something else to do?"
"No, ten o'clock.",Is it? Feels like two.
"There's a beautiful woman at eight, nine, ten o'clock!",What?
"She's amazing! She makes the women that I dream about look like short, fat, bald men!",Oh. Hel-lo!
"Oh yeah, and what would my opening line be? 'Excuse me. Blarrglarrghh.'","Well, go over to her! She's not with anyone."
"Oh please, could she be more out of my league? Ross, back me up here.","Oh, c'mon. She's a person, you can do it!"
"Thank you, buddy.",He could never get a woman like that in a million years.
You could do that!,"Oh, oh, but y'know, you always see these really beautiful women with these really nothing guys, you could be one of those guys."
Yeah!,Y'think?
C'mon! C'mon!,"Oh God, I can't believe I'm even considering this... I'm very very aware of my tongue..."
...Yes?,Here goes.
"Yes, you said that.","Hi.... um... okay, next word... would be... Chandler! Chandler is my name, and, uh... ...hi."
Chandler?,"Yes, yes I did, but what I didn't say was what I was about to say, what I wanted to say was, uh... would you like to go out with me sometime, thankyou, goodnight."
Hey! You're in a play! I didn't know you could dance! You had a beard!,
,Whadja think?
"C'mon, you guys, it wasn't that bad. It was better than that thing I did with the trolls, at least you got to see my head.",...Hey! You're in a play! I didn't know you could dance! You had a beard!
"She said yes!! She said yes!! Awful play, man. Whoah. Her name's Aurora, and she's Italian, and she pronounces my name 'Chand-lrr'. 'Chand-lrr'. I think I like it better that way. Oh, listen, the usher gave me this to give to you.",Saw your head. Saw your head.
"The Estelle Leonard Talent Agency. Wow, an agency left me its card! Maybe they wanna sign me!",What is it?
"Hey, kids.",Based on this play? ...Based on this play!
"No, 'cause this line is passion, and this is... just a line.",Hey.
"Oh, right, right. How was your date, 'Chand-lrr'?","Well, I can't believe I've been here almost seven seconds and you haven't asked me how my date went."
,It was unbelievable. I-I've never met anyone like her. She's had the most amazing life! She was in the Israeli army...
"Alright. Once I got on the subway, right, and it was at night, and I rode it all the way to Brooklyn... just for the hell of it.","...Luckily none of the bullets hit the engine block. So, we made it to the border, but just barely, and I- ...I've been talking about myself all night long, I'm sorry. What about you? Tell me one of your stories."
...All of a sudden we realised we were in Yammon.,We talked 'til like two. It was this perfect evening... more or less.
'We' would be me and Rick.,"Oh, I'm sorry, so 'we' is?"
Who's Rick?,Who's Rick?
Ooooohhh.,My husband.
No.,"Oh, so you're divorced?"
"No, I'm still married.","Oh, I'm sorry, then you're widowed?...Hopefully?"
"Don't worry. I imagine he'd be okay with you because really, he's okay with Ethan.","So tell me, how do- how do you think your husband would feel about you sitting here with me?...Sliding your foot so far up my pant leg you can count the change in my pocket?"
Mmmm... Ethan is my... boyfriend.,"Ethan? There's, there's an Ethan?"
"So explain something to me here, uh, what kind of a relationship do you imagine us having if you already have a husband and a boyfriend?",What?!
...Hm.,I suppose mainly sexual.
What 'not work out'? I'm seeing her again on Thursday. Didn't you listen to the story?,Oh. I'm sorry it didn't work out.
"Well, y'know, I had some trouble with it at first too, but the way I look at it is, I get all the good stuff: all the fun, all the talking, all the sex; and none of the responsibility. I mean, this is every guy's fantasy!","Didn't you listen to the story? I mean, this is twisted! How could you get involved with a woman like this?"
"No, of course not! ...Yeah, yeah, it is.","Oh, yeah. That is not true. Ross, is this your fantasy?"
I couldn't do it.,What? So you guys don't mind going out with someone else who's going out with someone else?
"When I'm with a woman, I need to know that I'm going out with more people than she is.","Good for you, Joey."
,"Well, y'know, monogamy can be a, uh, tricky concept. I mean, anthropologically speaking-"
"We're kidding. C'mon, tell us!","Fine. Fine, alright, now you'll never know."
"Alright. There's a theory, put forth by Richard Leakey-",Yeah! C'mon!
Tah-daaah!,
"Look! I cleaned! I did the windows, I did the floors... I even used all the attachments on the vacuum, except that little round one with the bristles, I don't know what that's for.",Are we greeting each other this way now? 'Cause I like that.
"Well, whaddya think?","Oh yeah, nobody knows. And we're not supposed to ask."
...Oh! I-I see you moved the green ottoman.,Very clean! It looks great! Terrific!
How-how did that happen?,Uh-oh...
"Yeah, yeah, it's interesting.. but y'know what? Just for fun, let's see what it looked like in the old spot. Alright, just to compare. Let's see. Well, it looks good there too. Let's just leave it there for a while.","I dunno.. I-I thought it looked better there. And I- and also, it's an extra seat around the coffee table."
"Thank God you didn't try to fan out the magazines. I mean, she'll scratch your eyes right out.",I can't believe you tried to move the green ottoman.
"Yeah, you are, Monica. Remember when I lived with you? You were like, a little, y'know, Ree! Ree! Ree! Ree!","You guys, I am not that bad!"
"Oh c'mon! When we were kids, yours was the only Raggedy Ann doll that wasn't raggedy!",That is so unfair!
"Alright, you madcap gal. Try to imagine this. The phone bill arrives, but you don't pay it right away.","Okay, so I'm responsible, I'm organised. But hey, I can be a kook."
Because you're a kook! Instead you wait until they send you a notice.,Why not?
"Okay, uh, you let me go grocery shopping, and I buy laundry detergent, but it's not the one with the easy-pour spout.",I could do that.
"Someone's left a glass on the coffee table. There's no coaster. It's a cold drink, it's a hot day. Little beads of condensation are inching their way closer and closer to the surface of the wood...",Why would someone do that?! ...One might wonder.
Monica? You're Mom.,STOP IT!! ...Oh my God. It's true! Who am I?
Ree! Ree! Ree! Ree! Ree!,
"Uh huh.. uh huh... oh my God! Okay! Okay, I'll be there! That was my agent. My agent has just gotten me a job...in the new Al Pacino movie!",
"Well, what's the part?",Oh my God! Whoah!
"Seriously, what-what's the part?","Can you believe this? Al Pacino! This guy's the reason I became an actor! ""I'm out of order? Pfeeeh. You're out of order! This whole courtroom's out of order!"""
"C'mon, seriously, Joey, what's the part?","""Just when I thought I was out, they pull me back in!"""
"..You're, you're 'mah mah mah' what?",...I'm his
Oh my God.,"...I'm his butt double. 'Kay? I play Al Pacino's butt. Alright? He goes into the shower, and then- I'm his butt."
"Oh no, it's terrific, it's... it's... y'know, you deserve this, after all your years of struggling, you've finally been able to crack your way into showbusiness.","C'mon, you guys. This is a real movie, and Al Pacino's in it, and that's big!"
"You're right, you're right, it is...So you gonna invite us all to the big opening?","Okay, okay, fine! Make jokes, I don't care! This is a big break for me!"
,"Alright, alright, alright..."
For what?,Here. I need to borrow some moisturizer.
"Oh my God. Okay, go into the bathroom, use whatever you want, just don't ever tell me what you did in there.",Whaddya think? Today's the big day!
,Thank you!
He's in the bathroom. I don't think you wanna go in there!,Where's Joey? His mom's on the phone.
I warned you...,"C'mon, we're roommates! My eyes!! My eyes!!"
Who is being loud?,
"Oh, you got the whole night, huh?","Oh, that would be Monica. Hey, listen, I wanna borrow a coupla things, Aurora spent the night, I really wanna make her breakfast."
"Ooh, do I sense a little bit of resentment?","Yeah, well, I only have twenty minutes until Ethan, so, y'know.."
"Sure. Oh, um, Chandler? Y'know, the-the old Monica would-would remind you to scrub that Teflon pan with a plastic brush...But I'm not gonna do that.","No, no resentment, believe me, it's worth it. 'Kay? Y'know in a relationship you have these key moments that you know you'll remember for the rest of your life? Well, every- single- second is like that with Aurora.. and I've just wasted about thirty-five of them talking to you people, so, uh.. Monica, can you help me with the door?"
"...Dammit, hire the girl! Okay, everybody ready?",
Lose the robe.,"Uh, listen, I just wanna thank you for this great opportunity."
That would work.,Me?
"Okay, everybody, we'd like to get this in one take, please. Let's roll it.. water's working .. and... action.",Right. Okay. Losing the robe. And the robe is lost.
"And cut. Hey, Butt Guy, what the hell are you doing?",
"No, that was clenching.","Well, I'm- I'm showering."
"I think his butt would like to get this shot before lunch. Once again, rolling... water working... and action....and cut. What was that?","Oh. Well, the way I see it, the guy's upset here, y'know? I mean, his wife's dead, his brother's missing... I think his butt would be angry here."
"God, I love these fingers...",I was going for quiet desperation. But if you have to ask...
"No, actually I meant my fingers. Look at 'em, look at how happy they are.",Thank you.
"Oh no nonononononnononono, don't go..","Oh my God, I'm late."
Don't go.,Okay.
"Too bad, she's leaving.","Okay. Oh no, I have to."
"Well, I thought- I thought you talked to Rick.",I'm sorry. He'll be waiting for me.
"What, Ethan? He got to spend the whole day with you!",It's not Rick.
"I know there'll be many moments in the years to come when I'll regret asking the following question, but- And Andrew is?","No, it's-it's Andrew."
"Oh, so what you're saying is you're not completely fulfilled by Rick, Ethan and myself?",He's... new.
"Well, y'know, most women would kill for three guys like us.","No, that's not exactly what I was.."
You.,So what do you want?
"Nono, just you.",You have me!
Lose the other guys.,Whaddyou mean?
"C'mon, we're great together, why not?","...Like, ...all of them?"
"...Well, y'know, part of me wants that, but it's like I'm two guys, y'know? I mean, one guy's going 'Shut up! This is great!' But there's this other guy. Actually it's the same guy that wells up every time that Grinch's heart grows three sizes and breaks that measuring device... And he's saying, y'know, 'This is too hard! Get out! Get out!'","Why can't we just have what we have now? Why can't we just talk, and laugh, and make love, without feeling obligated to one another... and up until tonight I thought that's what you wanted too."
"I don't know, I-I have to listen to both of them, they don't exactly let each other finish...",So... which one of the two guys will you listen to?
...The second guy.,Which one?
,"Well, call me if you change your mind."
,"Sorry, the first guy runs the lips."
,"Look at it this way: you dumped her. Right? I mean, this woman was unbelievably sexy, and beautiful, intelligent, unattainable... Tell me why you did this again?"
"Hey, waitwait, aren't you the guy that plays the butt in the new Al Pacino movie?",Hey!
"No? What happened, big guy?",Nope.
It felt like a 'big guy' moment.,"""Big guy?"""
Oh!,I got fired.
"Oh, Joey, you know what, no-one is gonna be able to tell.","Yeah, they said I acted too much with it. I told everybody about this! Now everybody's gonna go to the theatre, expecting to see me, and..."
Something so sweet and...disturbing about that.,My mom will.
Maybe this wasn't your shot.,"Y'know, I've done nothing but crappy plays for six years. And I finally get my shot, and I blow it!"
"Hard to tell, I was naked.","Yeah, I mean... I think when it's your shot, y'know, you-you know it's your shot. Did it... feel like your shot..?"
Yeah? That's so nice!,"No, I don't think this was your shot. I mean, I don't even think you just get one shot. I really believe big things are gonna happen for you, I do! You've gotta just keep thinking about the day that some kid is gonna run up to his friends and go 'I got the part! I got the part! I'm gonna be Joey Tribbiani's ass!'."
"I'm sorry, Joey. I'm gonna go to bed, guys.",
"Uh, Mon, you-you gonna leave your shoes out here?",Night.
Really? Just casually strewn about in that reckless haphazard manner?,Uh-huh!
She is a kook.,"Doesn't matter, I'll get 'em tomorrow. Or not. Whenever."
"Everybody? Shh, shhh. Uhhh... Central Perk is proud to present the music of Miss Phoebe Buffay.","If it bothers you that much, just go out and get the shoes. No. Don't do this. This is stupid! I don't have to prove anything, I'm gonna go get them...But then everyone will know. Unless I get them, and then wake up really early and put them back! ...I need help!"
"Hi. Um, I want to start with a song thats about that moment when you suddenly realize what life is all about. OK, here we go. OK, thank you very much.",
,"Oh, great. This is just..."
"Mom says it's all of Manhattan, parts of Brooklyn and Queens, and they have no idea when it's coming back on.","Wow, this is so cool, you guys. The entire city is blacked out!"
"Pants and a sweater? Why, mom? Who am I gonna meet in a blackout? Power company guys? Eligible looters? Could we talk about this later? OK.","Wow, you guys, this is big."
,Can I borrow the phone? I want to call my apartment and check on my grandma. What's my number?
"Oh my God, it's that Victoria's Secret model. Something... something Goodacre.","Well, I never call me."
"She's right, it's Jill. Jill Goodacre. Oh my God. I am trapped in an ATM vestibule with Jill Goodacre! Is it a vestibule? Maybe it's an atrium. Oh, yeah, that is the part to focus on, you idiot!","Hi Mom, it's Jill."
Jill says vestibule... I'm going with vestibule.,"Yeah, I'm fine. I'm just stuck at the bank, in an ATM vestibule."
"Oh! Some guy. Some guy. 'Hey Jill, I saw you with some guy last night. Yes, he was some guy.","I'm fine. No, I'm not alone... I don't know, some guy."
Hi everyone.,
"Well, Chandler's old roomate was Jewish, and these are the only candles we have, so... Happy Chanukah, everyone.","And officiating at tonight's blackout, is Rabbi Tribbiani."
,"Eww, look. Ugly Naked Guy lit a bunch of candles."
"Alright, alright, alright. It's been fourteen and a half minutes and you still have not said one word. Oh God, do something. Just make contact, smile!",That had to hurt!
There you go!,
You're definitely scaring here.,
"Yeah, about 300 guys I went to high school with. Yeah, thanks.",Would you like to call somebody?
"Hey, it's me.",Hello?
"Yeah, I'm fine. I'm trppd in an ATM vstbl wth Jll Gdcr.",It's Chandler! Are you OK?
I'm trppd... in an ATM vstbl... wth Jll Gdcr!,What?
Put Joey on the phone.,I have no idea what you just said.
I'm trppd... in an ATM vstbl... wth JLL GDCR.,What's up man?
"Yeah, like that thought never entered my mind.","Oh my God! He's trapped in an ATM vestibule with Jill Goodacre! Chandler, listen."
"OK, I'll go. OK, senior year of college... on a pool table.","Alright, somebody."
That's my sister.,Whoooaa!
Oh my God! What were you doing in a library?,OK... my weirdest place would have to be... the women's room on the second floor of the New York CIty public library.
Oh... Milwaukee.,"Pheebs, what about you?"
"Disneyland, 1989, 'It's a Small World After All.'",Um... Ross?
"The ride broke down. So, Carol and I went behind a couple of those mechanical Dutch children... then they fixed the ride, and we were asked never to return to the Magic Kingdom.",No way!
"Oh come on, I already went.","Oh, Rachel."
Come on.,You did not go!
Step back.,"Oh, alright. The weirdest place would have to be... ... oh, the foot of the bed."
,We have a winner!
"Well, it was the only thing to do there that didn't have a line.","I just never had a relationship with that kind of passion, you know, where you have to have somebody right there, in the middle of a theme park."
Come on.,"There, well, see? Barry wouldn't even kiss me on a miniature golf course."
And you didn't marry him because...?,"No, he said we were holding up the people behind us."
"Probably. But you know, I'll tell you something. Passion is way overrated.","I mean, do you think there are people who go through life never having that kind of..."
"It is. Eventually, it kind of... burns out. But hopefully, what you're left with is trust, and security, and... well, in the case of my ex-wife, lesbianism. So, you know, for all of those people who miss out on that passion... thing, there's all that other good stuff.",Yeah right.
"But, um... I don't think that's going to be you.",OK.
"Uh-uh. See, I see.... big passion in your future.",You don't.
Mmmm.,Really?
I do.,You do?
,"Oh Ross, you're so great."
What?,It's never gonna happen.
What? Why not?,You and Rachel.
"No, no, no. I'm not in the zone.","Because you waited too long to make your move, and now you're in the friend zone."
"I'm taking my time, alright? I'm laying the groundwork. Yeah. I mean, every day I get just a little bit closer to...","Ross, you're mayor of the zone."
"I will, I will. See, I'm waiting for the right moment. What? What, now?","Priesthood! Look Ross, I'm telling you, she has no idea what you're thinking. If you don't ask her out soon you're going to end up stuck in the zone forever."
Shhhh!,"Yeeeeaaaahhh! What's messing you up? The wine? The candles? The moonlight? You've just got to go up to her and say, 'Rachel, I think that...'"
We're shushing... because... we're trying to hear something. Listen. Don't you hear that?,What are you shushing?
See?,Ahhhh!
Would you like some gum?,Huh.
"Sorry, it's not.","Um, is it sugarless?"
"New York City has no power, and the milk is getting sour. But to me it is not scary, 'cause I stay away from dairy.... la la la, la la, la la...","Oh, then no thanks. What the hell was that? Mental note: If Jill Goodacre offers you gum, you take it. If she offers you mangled animal carcass, you take it."
Are you going to do it?,"OK, here goes."
Do you want any help?,I'm going to do it.
"Good luck, man.","You come out there, you're a dead man."
OK.,Thanks. OK.
"Hey, where are you going?",
You can't go out there.,Outside.
Because of... the reason.,Why not?
"I, um, can't tell you.",And that would be?
"OK, you've got to promise that you'll never, ever tell Ross that I told you.","Joey, what's going on?"
He's planning your birthday party.,About what?
You'd better act surprised.,Oh my God! I love him!
My surprise party!,About what?
Oh stop it. Joey already told me.,What surprise party?
"Hey, don't look at me. This is Ross's thing.","Well, he didn't tell me."
"No, you are not. We tell you stuff.",This is so typical. I'm always the last one to know everything.
Hmmm... this is so nice.,Yuh-huh! I was the last one to know when Chandler got bitten by the peacock at the zoo. I was the last one to know when you had a crush on Joey when he was moving in. Looks like I was second to last.
OK.,"OK, I have a question. Well, actually, it's not so much a question as.. more of a general wondering... ment."
Ohhh!!!!,"OK. Here goes. For a while now, I've been wanting to, um...."
"Oh, look at the little cat!","Yes, yes, that's right..."
,What? Ow!
This is just Bactine. It won't hurt.,"I'm on top of the world, looking down on creation and the only explanation I can find, is the wonders I've found ever since..."
"Sorry, that was wax.",
Why don't we just put 'poor little Tooty' out in the hall?,"Oh, poor little Tooty is scared to death. We should find his owner."
Yeah?,During a blackout? He'd get trampled!
"Oh no, the Mendels, they hate all living things, right?","You know, on second thought, gum would be perfection. 'Gum would be perfection'? 'Gum would be perfection.' Could have said 'gum would be nice,' or 'I'll have a stick,' but no, no, no, no. For me, gum is perfection. I loathe myself."
"Er, yeah, it's mine.",Oh. Hi. We just found this cat and we're looking for the owner.
"Yeah, it's my cat. Give me my cat.",He seems to hate you. Are you sure?
Ehhhh... B-Buttons.,Wait a minute. What's his name?
"Mmm. Bob Buttons. Here, Bob Buttons.",Bob Buttons?
You owe me a cat.,Oooh! You are a very bad man!
,"Here, kitty-kitty. Here kitty-kitty. Where did you go, little kitty-kitty-kitty? Here kitty-kitty-kitty-kitty..."
Wow.,
"Everybody, this is Paolo. Paolo, I want you to meet my friends. This is Monica.",Lucky sixes....
And Joey....,Hi!
And Ross.,Hi!
,Hi!
Monopoly!,He doesn't speak much English.
"So, um... where did Paolo come from?",Look at that!
"No, I mean tonight, in the building. Suddenly. Into our lives.","Oh... Italy, I think."
"That, that is funny... .... and Rachel keeps touching him.","Well, the cat... the cat turned out to be Paolo's cat!"
Alright. I looked all over the building and I couldn't find the kitty anywhere.,
Ah! Well! There you go! Last to know again! And I'm guessing... since nobody told me... this is Paolo.,"Oh, I found him. He was Paolo's cat."
,"Ah, Paolo, this is Phoebe."
"Ah, let's see. What next? Blow a bubble. A bubble's good. It's got a... boyish charm, it's impish. Here we go.",You betcha!
"Nice going, imp. OK, it's OK. All I need to do is reach over and put it in my mouth.",
,"Good save! We're back on track, and I'm... ..chewing someone else's gum. This is not my gum. Oh my God! Oh my God! And now you're choking."
,Are you alright?
Yes... thank you. That was... that was....,"My God, you're choking! That better?"
,Perfection?
,"Blah blah blah, blah blah blah... blah blaaaaaah...."
I have absolutely no idea.,Wha-What did he say that was so funny?
"Oh my God, you guys, what am I doing? What am I doing? This is so un-me!",That's... that's classic.
,"If you want, I'll do it."
"God, the first time he smiled at me... those three seconds were more exciting than three weeks in Bermuda with Barry.","I know, I just want to bite his bottom lip. But I won't."
"Y'know, I know it's totally superficial and we have absolutely nothing in common, and we don't even speak the same language but Goooooooddddddd....","You know, did you ride mopeds? 'Cause I've heard... ... oh, I see... it's not about that right now. OK."
