p1,p2
What'd I tell you? What'd I tell you?,I think it's great you guys are doing this.
"Well, we are great guys.","You know, my brother and his boyfriend have been trying to adopt for three years. What agency did you two go through?"
,"But, but this is my gig. This is where I play. My, my name is written out there in chalk. You know, you can't just erase chalk."
"Honey, I'm sorry.","And he's going to be paying this woman? Why doesn't he just give her like a throne, and a crown, and like a, you know, gold stick with a ball on top."
"Terry is a jerk, ok? That's why we're always saying ""Terry's a jerk!"" That's where that came from.","Yeah, ok. You probably did everything you could."
"Ok, you know what, lemme, let me just see what else I can do. All right, look, look. Why don't you just let her go on after Stephanie whatever-her-name-is. I mean, you won't even be here. You don't pay her. It's not gonna cost you anything.","I, I don't know."
"Come on, Terry, I'll even clean the cappuccino machine.",You don't clean the cappuccino machine?
"Of course I clean it. I mean, I,I will cleeeean it. I mean, I will cleeeean it.","Oh, all right, fine, fine, fine."
Done.,Really?
Yeah. Who's workin' for you babe?,Oh! Oh my god. This is so exciting. How much am I gonna get?
What?,Well you said that he's paying the people who are playing.
"Oh, no, no no. I meant that he's gonna be paying that other woman beause she's a professional.","Well, I'm not gonna be the only one who's not getting paid."
"Well, but Pheebs.","No, huh uh, I'm sorry, no. No, I'm not some like sloppy second, charity band. You know what, there are thousands of places in this city where people would be happy to pay to hear me play. When I play, I play for me, I don't need your charity. Thank you! La la la la la la la...."
"Well, there's no way I'm gonna get a shot. Maybe they can take the needle and thquirt it into my mouth, you know, like a thquirt gun.","Hello, there. I'm Dr. Carlin. I see someone's having an allergic reaction."
"Doctor, can I see you for just a minute please? My brother has a slight phobia about needles.",Did you tell him about my thquirt gun idea?
"My brother, the PhD would like to know if there's any way to treat this orally.","No, under these circumstances it has to be an injection, and it has to be now."
Tho?,Ohhh.
"That's good, have a seat. Um, the doctor says it's gotta be a needle. You're just gonna have to be brave, ok? Can you do that for me?",Ok.
"Ok. Oh boy. You are doin' so good. You wanna squeeze my hand? All right, Ross, don't squeeze it so hard. Honey, really, don't squeeze it so hard! Oh, Ross! Let go of my hand!","That's a good plan, Joe. Next time we wanna pick up women, we should just go to the park and make out. Taxi, taxi!"
"Hey, hey, look at that talent.",Just practicing. You're good. Carry on.
"Hey, you. He's just adorable.","Ok, but can you tell him that, because he thinks he's too pink."
So what are you guys out doing today?,"Oh we're not out. No, no. We're just uh, two heterosexual guys, hanging with the son of our other heterosexual friend, doin' the usual straight guy stuff."
You done?,Yeah.
"Oh, there's our stop.",Get outta here. This is our stop too.
You guys live around here too?,"Oh, yeah, yeah, sure. We live in the building by the uh sidewalk."
You know it?,"Hey, look, since we're neighbors and all, what do you say we uh, get together for a drink?"
"So uh, you wanna go to Marquel's?","Oh, sure, they love us over there."
Where's your baby?,Ben! Ben! Ben!
"Oh, that's good. Maybe he'll hear you and pull the cord.",Stop the bus! Wait! Wait! Wait!
Are you sure he didn't break it because it really hurts.,"No, it's just a good bone bruise. And, right here is the puncture wound from your ring."
"Oh, I'm sorry, I'm really sorry. Sorry. Sorry! Hey! Hey! I got my s's back! Which we can celebrate later. Celebrate.","... with the double double double-jointed boy. Hey. So um, are you the professional guitar player?"
Yeah. I'm Stephanie.,"Right. My name was on there, but now it just says ""carrot cake"". So, um, so um, how many chords do you know?"
All of them.,"Oh yeah, so you know D?"
Yeah.,"Ok, do you know A minor?"
Yeah.,"Ok, do you know how to go from D to A minor?"
Yeah.,"Ok. Um, so does your guitar have a strap?"
No.,Oh. Mine does. Stephanie knows all the chords.
"Come on, pick up, pick up! Hello? Transit Authority? Yes, hello. I'm doing research for a book, and I was wondering what someone might do if they left a baby on a city bus. Yes I do realize that would be a very stupid charact er.","Hi, here's the deal. We lost a carseat on a bus today. It's white plastic, with a handle, and it fits onto a stroller. Oh, and there was a baby in it. He wants to talk to you again."
"Ok, everybody, let's give a uh nice warm Central Perk welcome to--","Terry's a jerk, and he won't let me work, and I hate Central Perk!"
"Uh, to Stephanie Schiffer.",Thank you. I'd like to start with a song that I wrote for the first man I ever loved. Zachary.
You're all invited to bite me!,Hi. We're the guys who called about the baby. We left the baby on ths bus. Is he here? Is he here?
He's here. I'm assuming one of you is the father.,That's me.
I'm him.,"Actually, uh, we're both the father."
"Oh, Ben! Hey, buddy!",Please tell me you know which one is our baby.
"Well, well that one has ducks on his t-shirt, and this one has clowns. And Ben was definitely wearing ducks.",Ok.
"Or clowns. Oh, oh wait. That one's definitely Ben. Remember, he had that cute little mole by his mouth.",Yeah?
Yeah.,"Hey, Ben, remember us? Ok, the mole came off."
Ahh!,What're we gonna do? What're we gonna do?
"Uh, uh, we'll flip for it. Ducks or clowns.","Oh, we're gonna flip for the baby?"
You got a better idea?,"All right, call it in the air."
Heads.,Heads it is.
Yes! Whew!,We have to assign heads to something.
"Right. Ok, ok, uh, ducks is heads, because ducks have heads.",What kind of scary-ass clowns came to your birthday?
,Hey.
"Oh, hi.",Here. I thought you might be cold.
Thank you.,"Whoa, look at you, you did pretty well."
"Eight dollars and 27 cents. But not really, 'cause I put in the first two, just to, you know, get the ball rolling, and to make myself feel better.",Do you?
"No. This whole like playing-for-money thing is so not good for me. You know, I don't know, when I sang ""Su-Su-Suicide"", I got a dollar seventy-five. But then, ""Smelly Cat"", I got 25 cents and a condom. So you know, now I just feel really bad for Smelly Cat.","Well, you know, honey, I don't think everybody gets Smelly Cat. You know, I mean, if all you've ever actually had are healthy pets, then, whoosh!"
"It's not even that. I used to do my songs because it made me happy, but now it's like, it's just all about the money.","Well, people missed you in there. And in fact, there was actually a request for ""Smelly Cat""."
Really? From who?,"Well, from me. And I know it's not your big money song, but it's my favorite."
"Hi. Uh, did I accidentally drop a condom in your case? It's kind of an emergency.",Yeah. Here you go.
"Thanks a lot. Hey Christine, I got it!",
"I just wanna thank you for being there for me today. And I'm sorry I,I almost broke your hand.",That's ok. I'm sorry I poisoned you.
"Yeah. Hey, remember the time I jammed that pencil into your hand?","Remember it? What do you think this is, a freckle?"
Oh.,"Wait, what about the time I hit you in the face with the Silvian's pumpkin?"
"Oh, man. Oh, remember when I stuck that broom in your bike spokes, and you flipped over and hit your head on the curb?",No. But I remember people telling me about it.
I hope Ben has a little sister.,Yeah. I hope she can kick his ass.
"I'm gonna get a new band-aid. Hey, how 'bout the time I cut the legs off your Malibu Ken?",That was you?
"They, uh, were infected. He wouldn't have made it.","Aw, my little nephew. Come here, little one. There's my little baby Ben. Hey, my little boy. Hey, he's not crying."
"Hey, he's not crying.",Yes! There's still pie.
"I'm here. How's my little boy? Want Daddy to change your diaper? So, did you have fun with Uncle Joey and Uncle Chandler today?","Oh, yeah, he rode the bus today."
"Ohhh. Big boy, riding the bus--Hey, I have a question. How come it says Property of Human Services on his butt?","You, you are gonna love this."
Will you hold Ben for a sec? Come here. Come here.,"Stay back, I've got kiwi. Run, Joey, Run!"
"Smelly cat, smelly cat, what are they feeding you?","No, no, no. I'm sorry. It's ""smelly cat, smel-ly cat""."
"Smelly cat, smel-ly cat...",Better. Yeah.
Yeah?,"Yeah, much better. And you know what, don't feel bad, because it's a hard song."
Yeah.,You wanna try it again?
Yeah. From the top?,"Ok, there is no top. That's the beauty of Smelly Cat. Um, why don't you just follow me?"
Ok.,Mmmm hmmm.
"Smelly Cat, Smelly Cat, what are they feeding you? Smelly Cat, Smelly Cat, it's not your fault.",That's too much. Sorry.
,"OK, what is it about me? Do I not look fun enough? Is there something. . . repellant. . . about me?"
"So, how was the party?","Well it couldn't have been worse. A woman literally passed through me. OK, so what is it, am I hideously unattractive?"
"No, you are not, you are very attractive. You know what, I go through the exact same thing. Every time I put on a little weight, I start questioning everyting.","Woah, woah, I've put on a little weight?"
"No, not wieght... y'know, more like insulation.","Chandler, I'm unemployed and in dire need of a project. Ya wanna work out? I can remake you."
"Oh, you know, I would, but that might get in the way of my lying around time.",Please.
C'mon. Let her. Yeah.,"Alright, OK, alright. But if we put on spandex and my boobs are bigger than yours, I'm goin' home."
"Your boobs are fine. Look, I never should have said anything. Come here. Come here. Oh, can't make.... hands... meet....",
"OK, let's do it. What?","Nothing, just never seen you in little stretchy pants before."
And we're changing.,
C'mon give me five more. Five more.,No.
Five more and I'll flash you.,"One. . . two. . . two and a half. OK, just show me one of them."
,"Ow, ow, ow, ow, ow, ow, ow. Ow, ow, ow, ow, ow. . She's insane, the woman is insane. It's before work, it's after work, it's during work. She's got me doing butt clenches at my desk. And now, they won't bring me my mail anymore."
"Hey Phoebs, how'd it go with Scott last night?","Oh, um, it was nice. Took him to a romantic restraunt, ordered champagne, nice."
"The guy still won't put out, huh?","Nope. Zilch, nothin', uh-uh."
Sorry Phoebs.,"Look, I, y'know, I don't mind taking it slow, I like him a lot, y'know he's really interesting and he's really sweet and why won't he give it up?"
"Maybe he, uhh... drives his car on the other side of the road, if ya know what I mean.","No, whad'ya mean? He's not British."
Maybe he's. . . gay.,"Oohh, um, no, I don't think that's the problem. 'Cause we went, um, dancing the other night and the way he held me so close, and the way he was looking into my eyes I just like... definitely felt something."
"Yeah, but how much can you tell from a look?","No, I felt it on my hip. You could tell."
"Yo, Bing. Racquetball in 15 minutes.","Joey, be a pal. Lift up my hand and smack her with it."
"Ooh, oh, Rachel, don't look.","What? C'mon you guys, I don't care, I have a date tonight."
"Woah, woah, woah, you have a date?","Yeah, Monica's settin' me up."
"But uh, uh, what about uh, Ross and uh. . .?","Oh what, my whole insane jealousy thing? Well, y'know, as much fun as that was, I've decided to opt for sanity."
So you really OK about all this?,"Oh yeah, c'mon, I'm movin' on. He can press her up against that window as much as he wants. For all I care, he can throw her through the damn thing."
Hi guys.,Hey.
"Oh, Monica, I figured I'd come by tomorrow morning and pick up Fluffy's old cat toy, OK?",Only if you say his full name.
Can I come over tomorrow and pick up Fluffy Meowington's cat toy.,Alright.
You're getting a cat?,"Uh, actually, we're getting a cat."
Together?,Uh huh.
Both of you?,Yep.
Together.,"Yeah, we figure it'll live with Ross half the time, and with me half the time."
"Ohh, well, isn't that just lovely. That's something the two of you will be able to enjoy for a really, really, really, really, really long time.",Hopefully.
"Well. Woah, look at that! I gotta go, I gotta date. With a man. Um, OK, you guys have a really, uh, have a really good night and you two have a, uh, have a, uh, really good cat. OK, we're not supposed to take these when we leave.",
"I don't know if Monica told you but this is the first date I've gone on since my divorce so, if I seem a little nervous, I am.",How long do cats live?
I'm sorry?,"Cats, how long do they live figuring you don't... y'know, throw 'em under a bus or something?"
"Um, maybe 15, 16 years.",That's just great.
"Um, cheers.","Oh, right, clink."
"Monica told you I was cuter that this, didn't she?","Oh, no, Michael, it's not you. I'm sorry, it's just, it's this thing. It's probably not as bad as it sounds but this friend of mine is, is getting a cat with his girlfriend."
"Oh, that does sound. . .Ahh.",I mean he just started going out with her.
"Is this guy, uhh, an old boyfriend?","Ah, hah-hah-hah-ho, yeah, he wishes. Oh, I'm sorry, look at me. OK, Michael, let's talk about you."
Alright.,"OK, OK. So, you ever get a pet with a girlfriend?"
,"So, I figured it out."
What?,Why Scott doesn't want to sleep with me. It's 'cause I'm not sexy enough.
"Phoebe, that's crazy. When I first met you, you know what I said to Chandler? I said, ""Excellent butt, great rack.""","Really? That's so sweet. I mean, I'm officially offended but, sweet."
"Phoebs look, if you want to know what the deal is, you're just gonna have to ask him.","You're right, you're right. Ah, you are so yumm."
,"I mean, it's a cat, y'know, it's a cat. Why can't they get one of those bugs, y'know, one of those fruitflies, those things that live for like a day or something? What're they called, what're they called, what're they called?"
Fruitflies?,Yes! Thank you.
"So, would you like any dessert?","No! No dessert, just a check, please."
"Oh, you're not having fun, are you?","No, no, I am, but only because for the last hour and a half I've been playing the movie Diner in my head."
"Oh, look at me, look at me. Oh, I'm on a date with a really great guy, all I can think about is Ross and his cat and his... Julie. I just want to get over him. gosh, why can't I do that?","Oy. Look, I've been through a divorce, trust me you're gonna be fine. You just can't see it now because you haven't had any closure."
"Yeah! Closure. That's what it is, that's what I need. God, you're brilliant! Why didn't I think of that? How do I get that?","Well, you know, there's no one way really, it's just, you know, whatever it takes so that you can finally say to him, ""I'm over you."""
"Closure, that's what it is. Closure. Hello, excuse me. Excuse me, hel. . . woo",Hang on.
"Hello, excuse me.",What.
"Hi, I'm sorry, I need to borrow your phone for just one minute.",I'm talkin'!
"I can see that. I... just one phone call, I'll be very quick, I'll even pay for it myself. OK, you're bein' a little weird about your phone.","Alright, fine. I'll call you back."
Thank you. OK. Machine. Just waiting for the beep.,Good.
"Ross, hi, it's Rachel. I'm just calling to say that um, everything's fine and I'm really happy for you and your cat who, by the way, I think you should name Michael. And, you know, ya see there I'm thinking of names so obviously, I am over you. I am over you and that, my friend, is what they call closure.",
"No, no, no, no, no, no No. Monica, it's Sunday morning. I'm not running on a Sunday.",Why not?
Because it's Sunday. It's God's day.,"OK, if you say stop, then we stop."
"OK, stop.","No, c'mon, we can't stop, c'mon, we've got three more pounds to go. I am the energy train and you are on board. Woo-woo, woo-woo, woo-woo Woo."
,Hey Rach.
Ahhhh.,Oh. And how was the date?
"Umm, I think there was a restaurant... I know there was wine. . .","Wow, well uh, uh, actually, Julie's downstairs getting a cab, I just need the cat toy, did Monica say. . . What? Why, why are you looking at me like that?"
"I don't know, I, I feel like I had a dream about you last night but I, I don't remember.","OK. Oh, oh, oh."
Did we speak on the phone last night? Did you call me?,"No, I stayed at Julie's last night."
Huh.,"Oh, actually I haven't even been home yet. Do you mind if I check my messages?"
"Oh yeah, go ahead.","Rach, I got a message from you. Who's Michael?"
"Oh my God. Oh my God Ross, no, hang up the phone, give me the phone Ross, give me the phone, give me the phone, give me the. . .",You're over me?
Ohhhhhhhh God.,"Wha... you're uh, you're, you're over me?"
"Ohh, ohh.","When, when were you... under me? Rach. Rachel do you, I mean, were you, uh. . . What?"
"Ohh, OK, OK, OK, well, basically, lately, I've uh, I've uh, sort of had feelings for you.",You've had feelings for me?
"Yeah, what, so? You had feelings for me first.","Woah. Huh. You know about my, I mean, you know I had... you know?"
Chandler told me.,Chandler. When did he... when did he... when did he?
When you were in China.,China.
Meeting Julie.,"Julie. Julie. That. Oh God. Julie, right. OK, I need to lie down. No, ya know, I'm gonna stand. I'm gonna stand, I'm gonna walk, I'm walkin' and I am standing. OK so you uh, and now wha... and now, now, now you're over me?"
Are you over me?,"That's, that's Julie. Ju... Julie, Julie. Hi Julie."
"Hi honey, I've got a cab waiting.",I'll be right down.
"Wait, so, you're going?","Well, OK, I uh, I have to. I can't deal with this right now. I mean, I've uh, y'know, I've got a cab, I've got a girlfriend, I'm... I'm gonna go get a cat."
"OK, OK.",Cat.
,Hey Joey.
Hey Phoebs.,How come you're watching a rabbi play electric guitar?
I can't find the remote. Thank you.,"So, Scott asked me to come over for lunch today and I did."
And?,And we did.
"All right Phoebs, way to go.",Yay me.
"So, so how did it happen?","Well, I finally took your advice and asked him what was going on."
And what did he say?,"He said that, um, he understands how sex can be like, a very emotional thing for a woman and he was just afraid that I was gonna get all, y'know, like, 'ohh, is he gonna call me the next day' and, y'know, 'where is this going' and, ya know, blah-la-la-la-la. So he said he wanted to hold off until he was prepared to be really serious."
Wow.,"Yeah, so I said, ""OK, relax please,"" y'know, I mean, sex can be just about two people right there in the moment, y'know, it's, if he wants to see me again he can call and if not, that's fine too. So after a looooot of talking. . . I convinced him."
"Let me get this straight. He got you to beg to sleep with him, he got you to say he never has to call you again, and he got you thinking this was a great idea.",Um-hum.
This man is my God.,
Hi.,I didn't get a cat.
"Oh, that's um, interesting.","No, no it's not interesting. OK, it's very, very not interesting. In fact it's actually 100 percent completely opposite of interesting."
"Alright, I got it Ross.",You had no right to tell me you ever had feelings for me.
What?,I was doing great with Julie before I found out about you.
"Hey, I was doin' great before I found out about you. You think it's easy for me to see you with Julie?",Then you should have said something before I met her.
I didn't know then. And how come you never said anything to me.,There was never a good time.
"Right, you, you only had a year. We only hung out every night.","Not, not, not every night. You know, and... and it's not like I didn't try, Rachel, but things got in the way, y'know? Like, like Italian guys or ex-fiances or, or, or Italian guys."
"Hey, there was one Italian guy, OK, and do you even have a point?","The point is I... I don't need this right now, OK. It, it's too late, I'm with somebody else, I'm happy. This ship has sailed."
"Yeah, what're you saying, you just sort of put away feelings or whatever the hell it was you felt for me?","Hey, I've been doin' it since the ninth grade, I've gotten pretty damn good at it."
"Alright, fine, you go ahead and you do that, alright Ross.",Fine.
'Cause I don't need your stupid ship.,Good.
Good.,"And ya know what, now I've got closure."
Try the bottom one.,
"Monica, it's 6:30 in the morning. We're not working out, it's over.","No way, with one pound to go, c'mon. We're workin', we're movin', we're in the zone we're groovin'."
"OK, I don't, I don't mind the last pound. OK, in fact I kind of like the last pound. OK, so don't make me do anything that I'll regret.","Ooh, what'cha gonna do, fat boy, huh? What?"
"Nothing, except tell you, uh, I think it's wonderful how much energy you have.","Well, thanks."
"I mean, especially considering how tough it's been for you to find work.","Well, you know."
"You know, I mean, you can't tell your parents you were fired because they'd be disappointed.",Uh-huh.
And it's not as if you have a boyfriend's shoulder to cry on.,"Well no, but um."
"I mean, if it were me, I think I'd have difficulty just getting out of bed at all.","Y'know, I try to stay positive. . ."
"So, you feel like goin' for a run?",Alright.
"Because, you know, you don't have to. If you want, you could just take a nap right here.",OK. Just for a little while.
OK.,
Ross kissed me.,"Oh my god, oh my god, oh my god!"
It was unbelievable!,"Oh my god, oh my god, oh my god!"
"Ok, all right. We want to hear everything. Monica, get the wine and unplug the phone. Rachel, does this end well or do we need to get tissues?","Oh, it ended very well."
Oh.,Do not start without me. Do not start without me.
"Ok, all right, let's hear about the kiss. Was it like, was it like a soft brush against your lips? Or was it like a, you know, a ""I gotta have you now"" kind of thing?","Well, at first it was really intense, you know. And then, oh, god, and then we just sort of sunk into it."
"Ok, so, ok, was he holding you? Or was his hand like on your back?","No, actually first they started on my waist. And then, they slid up, and then, they were in my hair."
Ohhhh.,
"And, uh, and then I kissed her.",Tongue?
Yeah.,Cool.
,"All right, check out this bad boy. 12 megabytes of ram. 500 megabyte hard drive. Built-in spreadsheet capabilities and a modem that transmits at over 28,000 b.p.s."
Wow. What are you gonna use it for?,Games and stuff.
There are no jobs. There are no jobs for me.,"Wait, here's one. Uh, would you be willing to cook naked?"
There's an ad for a naked chef?,"No, but if you're willing to cook naked, then you might be willing to dance naked. And then..."
Hi.,"Hey, oh, so, um...how'd you make out last night?"
"That, that is funny. That is painfully funny. No, wait. Wait, yeah, that's just painful",Wait a minute. I thought last night was great.
"Yeah, it was, but...I get home, ok, and I see Julie's saline solution on my night table. And I'm thinking to myself, oh my god, what the hell am I doing? I mean, here I am, I am with Julie, this incredible, great woman, who I care about and who cares about me, and I'm like, what, am I just gonna throw all that away?",You got all that from saline solution?
We are talking about Rachel here. You and Rachel.,"Believe me, I've been dreaming about me and Rachel for ten years now. But now, I'm with Julie, so it's like me and Julie, me and Rachel, me and Julie, me and... ... Rachel. Rachel, Rachel."
"Hey, you.",How are you?
Good. How are you?,Good.
"Hi, honey.","Hi, Julie. Hi, Julie. Julie, um, how are you?"
Good.,"Good, so everybody's here. Everybody's good. So, were you gonna play something, Phoebe?"
"Oh, well, actually.",Play it.
"Ok, all right.","Hey, Julie, I didn't know you wore lenses."
What?,Ssshh.
"Ok, um, hi, hello, hi, ok, so, um, this is a song about a love triangle between three people that I made up. Um, it's called, um, ""Two of Them Kissed Last Night"".","There was a girl, we'll call her Betty, and a guy let's call him Neil. Now I can't stress this point too strongly, this story isn't real. Now our Neil must decide, who will be the girl that he casts aside. Will Betty be the one who he loves truly? Or will it be the one who we'll call Ju...Loolie? He must decide, he must decide, even though I made him up, he must decide!"
,"This is a nice resume. Nice, nice, nice. Muy impressivo."
"So, Mr. Rastatter, what exactly does this job entail? The ad wasn't too clear.",Mockolate.
I'm sorry?,Mockolate. It's a completely synthetic chocolate substitute.
Ohh.,"Go ahead. Try a piece. Yeah, we think that Mockolate is even better than chocolate."
All right. Mmm-mmm.,Yeah?
"I love how it crumbles. Now see, your chocolate doesn't do that.","No, ma'am. Well, anyhoo, we should be getting our F.D.A. approval any day now, hopefully, in time for Thanksgiving. See, the way we look at it, chocolate already dominates most of your major food-preparation holidays: Easter, Christmas, what have you."
Mmm-mmm.,"But, we're thinking, given the right marketing, we can make Thanksgiving the Mockolate holiday."
Wow.,Aren't you going to swallow that?
Just waiting for it to stop bubbling.,"Yeah, isn't that great?"
Mmm.,"Well, anyhoo, um, we are looking for a couple of chefs who can create some Thanksgiving-themed recipes. You think you might be interested?"
"Abso... ...lutely. See, I love creating new recipes. I love Thanksgiving. And, well, now, I love Mockolate.",Really?
"Especially the after taste, you know, I'll tell ya, that'll last ya till Christmas.",
How about Mockolate mousse?,"It's not, it's not very Thanksgiving-y."
"Ok, how about pilgrim Mockolate mousse?",What makes it pilgrim?
We'll put buckles on it.,Hey.
Hey.,Hey.
"Did uh, Ross call?","No, I'm sorry."
"Why didn't he call? He's gonna stay with Julie, isn't he? He's gonna stay with her and she's going to be all, ""Hi, I'm Julie, Ross picked me, and we're gonna to get married, have a lot of kids and dig up stuff together.""","No offense, but that sounds nothing like her."
,"I don't know what to do. What am I gonna do? I mean, this, this is like a complete nightmare."
"Oh, I know. This must be so hard. Oh, no. Two women love me. They're both gorgeous and sexy. My wallet's too small for my fifties, and my diamond shoes are too tight.","Hey, here's a thought, Ross."
Don't touch the computer. Don't ever touch the computer.,"Ross, listen. I got two words for you. Threesome."
"Ok, all right, look. Let's get logical about this, ok? We'll make a list. Rachel and Julie, pros and cons. Oh. We'll put their names in bold, with different fonts, and I can use different colors for each column.",Can't we just use a pen?
"No, Amish boy.","Ok, let's start with the cons, 'cause they're more fun. All right, Rachel first."
"I don't know. I mean, all right, I guess you can say she's a little spoiled sometimes.",You could say that.
"And I guess, you know, sometimes, she's a little ditzy, you know. And I've seen her be a little too into her looks. Oh, and Julie and I, we have a lot in common 'cause we're both paleontologists, but Rachel's just a waitress.",Waitress. Got it. You guys wanna play Doom? Or we could keep doing this. What else?
I don't know.,"Oh, her ankles are a little chubby."
"Ok, let's do Julie. What's wrong with her?",She's not Rachel.
,"Ok, this is pumpkin pie with mockolate cookie crumb crust. This is mockolate cranberry cake, and these are mockolate chip cookies. Just like the Indians served."
Oh my god.,Oh my god good?
"Oh my god, I can't believe you let me put this in my mouth.","Oh, oh sweet Lord! This is what evil must taste like!"
,"I'm telling you this thing won't print. Yes, I pressed that button like 100 times. You know, for a hot line you are not so hot. What? What is that in the background? Are you watching Star Trek?"
"Hey, so how'd it go with Julie? Did you, did you break her heart?","Yes, it was horrible. She cried. I cried. She threw things, they hit me. Anyway, I did the right thing."
"So, Spock actually hugs his father?","Hey, do you guys have... ...hi."
Hi.,Where you goin'?
"I uh, I just got back from uh, from Julie's.",Oh.
"No, no, uh, it's not what you think. It's um the other thing.","Well, what's the other thing, what do I think?"
"Well, uh.","He broke up with Julie. Well, go hug her, for god's sakes."
Really?,"Really. It's always been you, Rach."
"Oh, god.",Ohhh.
"Oh, oh, this is good, this is really good.","I know, I know, it's, it's almost... What do you say we go take a walk, just us, not them?"
Let me get my coat.,"Ok. No, hey, whoa, whoa, I'll get your coat."
"Ok, he's goin' to get my coat. He's goin' to get my coat. Oh my god, you guys. I can't believe this. This is unbelievable. What's that?",What? Nothing.
What's that? What? I saw my name. What is it?,"No, no, see? See? Hey, it's printing. Hey, it's printing!"
Well what is it? Let me see.,"Hey, someone order a coat?"
"Ross, Chandler wrote something about me on his computer and he won't let me see.","He won't? He won't! Because, isn't that, isn't that the, the short story you were writing?"
"Yes, yes it is, short story, that I was writing.",And I'm in it? Then let me read it.
No!,Come on.
"Hey, uh, why don't you read it to her?","Alright. ""It was summer, and it was hot. Rachel was there. A lonely gray couch. 'Oh, look,' cried Ned, and then the kingdom was his forever. The end."""
That's it? That's all you wrote? You're the worst writer in the whole world.,"All right, you know what? This isn't funny anymore. There's something about me on that piece of paper and I want to see it."
"No, you don't.","All right, you know what, that's fine. If you guys want to be children about this, that's fine. I do not need to see it."
"What is this? Ross, what is this?",Good luck.
"Ok, just, just remember how crazy I am about you, ok?",Kind of ditzy? Too into her looks? Spoiled?
"Now that's a little spoiled. He was supposed to type ""little"", the idiot.",Just a waitress?
"No, that, that was, I mean, as opposed to uh, the uh, ok. Is this over yet Rach?",Oh! I do not have chubby ankles!
"No, no, wait, ok, ok, look at the other side. Look at Julie's column.",She is not Rachem. What the hell's a Rachem? Is that some stupid paleontology word that I wouldn't know because I'm just a waitress.
"No, Rach, come on. Rach! Rach, no, no! She's not Rachel, she is, she is not, Ra--Rachel?",
"My diary! My diary, that's brilliant. I should have told her it was my diary, she never would have made me read her my diary.","You know, that's true. You'd be a great person to have around the day after an emergency."
I... I cannot believe Ross even made this list. What a dinkus.,"Hey, cut him some slack. It was Chandler's idea."
What?,What?
"Oh good, I was hoping that would come up.",This was your idea?
What were you thinking?,"All right, let's get some perspective here, ok? These things, they happen for a reason."
Yeah. You!,"All right, Pheebs, back me up here, ok? You believe in that karma crap, don't you?"
"Yeah, by the way, good luck in your next life as a dung beetle.",
"Rach! Whoops! Rach, hey, open up, please!","When somebody does not buzz you in, Ross, that means go away. That doesn't mean please climb up the fire escape."
I just wanna read something. It's your pro list.,Not interested.
"Ok, ok, number one: The way you cry at game shows. Number two: how much you love your friends. Number three: the way you play with your hair when you're nervous. Number four: how brave you are for starting your life over. Number five: how great you are with Ben.",Number six: the way you smell.
"Hey, Ross! What are you doin'?","Hey, Joey. You wanna open the window?"
"Oh, yeah, I do.",What are you doing out there?
"I am, uh, I am...","Oh, you must be freezing. You know what you need? How about a nice steaming cup of hot Mockolate?"
"Rach, come on, open up. Rach, come on, come on, Rach. You got to give me another chance.",No.
No?,That's what I said.
"Look, maybe we should go?","No, you guys, you really don't have to go, we're done talking."
"Rach, come on, look, I know how you must feel.","No, you don't, Ross. Imagine the worst things you think about yourself. Now, how would you feel if the one person that you trusted the most in the world not only thinks them too, but actually uses them as reasons not to be with you."
"No, but, but I wanna be with you in spite of all those things.","Oh, well, that's, that's mighty big of you, Ross. I said don't go!"
"You know what? You know what? If, things were the other way around, there's nothing you could put on a list that would ever make me not want to be with you.","Well, then, I guess that's the difference between us. See, I'd never make a list."
"I never know how long you're supposed to wait in this type of a situation before you can talk again, you know? Maybe a little longer.",
"Now, in some of these recipes, the quantities may seem just a little unusual, uh, like these coconut mockolate holiday nut bars. I've indicated four cups of coconut, and four cups of crushed nut, and only, uh, one tablespoon of mockolate.",Doesn't matter.
What?,Our FDA approval didn't come through. Something about laboratory rats.
"Oh, gosh, I'm sorry.","Yeah, well, anyhoo, here is your check. Thank you for all the trouble you went through. Um, listen, you didn't eat a lot of it while you were cooking, did you?"
"Well, uh, I ate some.","Oh, some, that's fine. Some is fine. Some is not a lot. So, it doesn't burn when you pee, does it?"
,
Hello?,Hi.
"Is that him again? Tell him I'd come to the phone, but my ankles are weighin' me down.","Listen, I... I don't think this is the best time."
"Look, can, can you do something for me?","Sure, what? Ok, ok. Music?"
"The next one's dedicated to Rachel from Ross. Rachel, he wants you to know he's deeply sorry for what he did and he hopes you can find it in your heart to forgive him.","Uh, we've just gotten a call from Rachel, and she told us what Ross did. It's pretty appalling, and Ross, if you're listening, I don't wanna play your song anymore. Why don't we devote our time to a couple that stands a chance? Avery, Michelle's sorry she hit you with her car and she hopes you two will work it out."
,"Hi, thanks for coming in again."
"Oh, not at all. I have no morals and I need the cash.","It's like I'm lookin' in a mirror. Anyway, they're called ""fishtachios"". They taste exactly like pistachios, but they're made primarily of reconstituted fish bits. Here, try one. You're not allergic to anything, are you?"
Cat hair.,"Oh, sorry."
,"Ooh, ooh, ooh, ooh, ooh. Ugly Naked Guy is decorating his tree. Oh my God, you should see the size of his Christmas Balls."
Hey.,Hey.
Hey.,"Hey, how much did you guys tip the super this year?"
"Yeah, we were gonna give fifty, but if you guys gave more, we don't wanna look bad.","Oh, actually this year we just made him homemade cookies."
